gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
Zfp771,0.250406709,1.069498143,0.77357921,0.457406179,0.763704653,-5.337610284
Mtrex,0.175371874,2.643923146,0.773550119,0.45742261,0.763704653,-5.676583687
Hist1h2ag,0.531981119,-0.145600527,0.773283081,0.457573457,0.763704653,-5.079397598
Psmg3,0.328055083,1.593763018,0.773226352,0.457605507,0.763704653,-5.455328387
Tceal1,0.200168262,2.961118337,0.773190839,0.457625571,0.763704653,-5.735442008
Krr1,0.132453103,4.947872759,0.773083473,0.457686235,0.763704653,-5.981314856
Zrsr1,0.199816401,5.966472873,0.77249294,0.458019989,0.763756051,-6.035982723
Rassf2,0.335040801,3.505954973,0.772344504,0.458103906,0.763756051,-5.824761256
Hist1h1e,0.135285234,4.801113728,0.771874897,0.458369461,0.763880652,-5.970815034
Ifit1bl1,0.212158488,2.226417679,0.771669351,0.458485725,0.763880652,-5.592976285
Gm42791,0.313393049,1.062754537,0.771648659,0.45849743,0.763880652,-5.337439245
Yae1d1,0.18551114,5.415369627,0.771073922,0.458822629,0.764046976,-6.012664854
Rrp12,0.161021354,5.211683428,0.77093443,0.458901579,0.764046976,-6.000936959
Twf2,0.145019653,5.813773999,0.7705648,0.459110827,0.764185985,-6.031800398
Nat1,0.559821419,-1.277871891,0.770341314,0.459237372,0.7642185,-4.905240419
Gm15446,0.25169276,1.522277394,0.769880071,0.459498615,0.764230039,-5.441836078
Gm10033,0.163982617,4.02843512,0.767906952,0.460617256,0.765355545,-5.897549795
Pwwp3a,0.175147201,2.757727117,0.767614799,0.460783039,0.765363897,-5.702678412
Trappc1,0.212766504,2.523307293,0.767114612,0.461066962,0.765527753,-5.657395721
Cspg5,0.741439244,-0.647223117,0.766684995,0.461310917,0.76570643,-4.996682167
Dph5,0.198471491,3.372161408,0.766475514,0.461429899,0.76573625,-5.808923283
Neu1,0.28919769,4.138256677,0.766370212,0.461489718,0.76573625,-5.91143811
Oaz1,0.127753932,6.417479392,0.76615664,0.461611054,0.765817795,-6.054252984
Dsn1,0.430507592,0.058847313,0.765669522,0.461887879,0.76584034,-5.123563357
Psma1,0.15369053,5.897621762,0.765504994,0.461981402,0.76584034,-6.038935665
Psmg1,0.191364851,2.860267595,0.76529499,0.462100795,0.765949362,-5.723361056
Rnf141,0.165851578,3.862995849,0.764497453,0.462554394,0.766076638,-5.879877961
Memo1,0.14139786,5.210194424,0.764435305,0.462589753,0.766076638,-6.005849753
Fcrl5,0.548582485,-1.132321623,0.764393698,0.462613426,0.766076638,-4.927196021
Polg,0.139700239,4.52678313,0.764369562,0.462627158,0.766076638,-5.952744903
Rsrc2,0.141975889,6.858617215,0.764301424,0.462665929,0.766076638,-6.065026545
Tomm70a,0.141457245,6.255932302,0.763969001,0.46285511,0.766079344,-6.051676543
Itpa,0.208123326,2.78922363,0.763793578,0.462954962,0.766079344,-5.711434626
Nsmaf,0.168468863,4.213221973,0.763594758,0.463068149,0.766079344,-5.921726232
Gm6548,0.277432869,0.847846911,0.763575354,0.463079196,0.766079344,-5.294821745
Rc3h2,0.117779322,5.526799806,0.763480276,0.463133331,0.766079344,-6.024319215
4930512M02Rik,0.716115213,-0.92070878,0.763463007,0.463143164,0.766079344,-4.957077117
Stk38l,0.154581649,3.72837655,0.763460384,0.463144657,0.766079344,-5.863106888
Alkbh8,0.260482788,4.070632423,0.762825681,0.463506148,0.766096583,-5.906359867
Ppig,0.150077209,4.331278424,0.762812405,0.463513711,0.766096583,-5.934791461
Usp34,0.129012889,5.403878398,0.76278287,0.463530538,0.766096583,-6.018417409
Fbl,0.169178214,2.515647903,0.762358626,0.463772272,0.766279865,-5.659374906
Btbd2,0.150142505,5.42517942,0.762219028,0.463851833,0.766279865,-6.020021084
Rab11fip3,0.119823251,5.724989773,0.761918935,0.464022895,0.766378239,-6.034769749
Prmt3,0.248953897,1.519769288,0.761307193,0.464371731,0.766817877,-5.447352069
Nbr1,0.157946937,5.184000331,0.761263838,0.46439646,0.766817877,-6.006608919
Socs4,0.16206585,3.894081127,0.760767696,0.464679511,0.76709179,-5.886668187
Dchs2,0.417874395,0.810742733,0.759955764,0.465142962,0.767518129,-5.288925255
Swsap1,0.211557489,2.065627787,0.759686882,0.465296505,0.767529033,-5.567671153
Scly,0.207331916,2.290020818,0.759661884,0.465310782,0.767529033,-5.615093333
Gnl2,0.127331402,4.174058752,0.759277072,0.465530588,0.767563805,-5.92081386
Cdkal1,0.139167436,4.611361614,0.759228686,0.465558231,0.767563805,-5.964320852
Dmac2,0.157306799,4.594410226,0.759011836,0.46568213,0.767563805,-5.962973254
Gchfr,0.388320353,-0.244173496,0.758966493,0.46570804,0.767563805,-5.069762627
Wdr20,0.164741133,3.339474789,0.758820903,0.465791239,0.767612354,-5.809518073
Rbbp9,0.195125513,3.016337071,0.75872039,0.465848684,0.767618453,-5.755971913
Sec23ip,0.16116878,5.430240144,0.758028629,0.466244162,0.767668452,-6.023497143
Cage1,0.355950158,0.29402434,0.758023525,0.466247081,0.767668452,-5.17673363
Tet1,0.327015083,0.29662023,0.757882077,0.466327973,0.767668452,-5.17737363
Tax1bp1,0.122811164,5.527786257,0.757821271,0.46636275,0.767668452,-6.028698155
Taf9b,0.183688851,3.570770862,0.756881373,0.466900521,0.768356755,-5.8460302
Trmt10b,0.240453551,1.743504816,0.756714569,0.466996,0.768356755,-5.500184591
Dpm2,0.192997981,2.315406695,0.756714433,0.466996078,0.768356755,-5.622482465
Nsmce4a,0.130767753,4.573610509,0.75648172,0.467129306,0.768473502,-5.96303948
Glyctk,0.715385678,-0.911275863,0.755873513,0.467477619,0.76869179,-4.962461545
Olfr1191-ps1,0.381215957,1.129356761,0.755836736,0.467498686,0.76869179,-5.363279337
Zfp65,0.24755094,1.118768287,0.755519483,0.467680445,0.768710323,-5.36111476
Ocrl,0.162275027,3.798031132,0.755308548,0.467801317,0.768710323,-5.878547753
Top1mt,0.256202001,0.914459151,0.755210171,0.467857697,0.768710323,-5.315424895
Zfp931,0.193528711,2.519347357,0.754697054,0.468151837,0.768710323,-5.665741855
Itga5,0.13274469,4.910939772,0.754668169,0.468168398,0.768710323,-5.992678976
L3mbtl2,0.27451045,2.159041848,0.754648403,0.468179731,0.768710323,-5.591104488
Vmn1r210,0.498356944,-0.003356279,0.754120873,0.468482268,0.769078468,-5.118330799
Npas2,0.413918289,-0.755011452,0.753755587,0.468691831,0.769150684,-4.986966313
Tfcp2,0.136735832,4.809187933,0.753184503,0.469019581,0.769558492,-5.985752888
Eif2s3x,0.179289908,4.470342549,0.752531602,0.469394466,0.770085132,-5.956352637
Nacad,0.710512194,-0.594468022,0.752148505,0.469614524,0.770174411,-5.013244204
1810010H24Rik,0.393525491,-0.45285401,0.751596088,0.469931958,0.770174411,-5.037165322
Neil2,0.298999191,0.463993328,0.751532586,0.469968456,0.770174411,-5.217467755
Metrn,0.175767917,3.723357214,0.751298573,0.470102975,0.770174411,-5.871575925
Zkscan2,0.631693117,-0.243892727,0.751201342,0.470158874,0.770174411,-5.074368785
Uso1,0.117549221,6.286092128,0.75114331,0.470192239,0.770174411,-6.062289954
Rraga,0.117719404,5.149783125,0.751107559,0.470212795,0.770174411,-6.012148646
C030006K11Rik,0.138247837,4.854384392,0.750269192,0.47069499,0.770625463,-5.991607203
Marf1,0.128742193,4.748594027,0.750015675,0.470840865,0.770713052,-5.983233126
Tlr5,0.667457368,0.003253651,0.749907106,0.470903345,0.770713052,-5.122179738
Cdnf,0.173426885,2.858466958,0.748698398,0.4715993,0.771310294,-5.735319031
Wdr12,0.168478221,3.145688883,0.748405873,0.471767829,0.77139975,-5.785562033
Eif2d,0.11613845,4.878676461,0.748359901,0.471794318,0.77139975,-5.994944837
Zc3h11a,0.148561981,4.492614475,0.748043338,0.471976747,0.77139975,-5.961862584
Stx11,0.300481287,0.864815108,0.747206428,0.472459257,0.77165644,-5.309581628
Emd,0.139070314,3.724556944,0.747001445,0.472577486,0.771673057,-5.874938789
Clcn7,0.128030234,5.762495098,0.746710874,0.472745111,0.771770512,-6.047901184
Cdc27,0.147042043,4.800681887,0.746507198,0.472862631,0.771873938,-5.990092684
Car10,0.761663291,-1.468530161,0.746302692,0.472980649,0.771936682,-4.893405837
Rnd1,0.446690495,-0.017626747,0.74565353,0.473355395,0.772325236,-5.120627504
Sdhaf2,0.175074006,5.527364981,0.745261506,0.473581794,0.772529818,-6.038186822
Wtap,0.126916173,4.690859583,0.745218906,0.4736064,0.772529818,-5.981926689
Olfr1150-ps1,0.528091439,0.048790967,0.74484605,0.473821799,0.772531263,-5.134280915
Lactb2,0.180156593,4.176473244,0.744669408,0.473923868,0.772531263,-5.93204855
Eif1a,0.189092203,3.019293066,0.74459225,0.473968456,0.772531263,-5.766913156
AW554918,0.173602545,2.832670766,0.744411938,0.474072666,0.772598495,-5.733783256
Stn1,0.222810507,2.112571686,0.744115085,0.474244261,0.772639863,-5.5887934
Tmem100,0.220539287,3.13872788,0.744102622,0.474251466,0.772639863,-5.787549711
Nol10,0.184695041,3.325496513,0.743184699,0.474782324,0.773114148,-5.818866649
Olfr1346,0.428280991,-0.351782638,0.742690802,0.475068113,0.773264714,-5.05981922
Rpgrip1l,0.381492002,4.129202428,0.742296185,0.475296534,0.773460225,-5.928534669
Cars2,0.134191307,4.263197775,0.741875917,0.47553988,0.773475628,-5.943399742
Gtf2f2,0.151745703,3.302116608,0.741825073,0.475569324,0.773475628,-5.81606523
Naca,0.118108388,10.17606343,0.741759572,0.47560726,0.773475628,-6.075150202
Slc46a3,0.217253799,4.149691426,0.741728719,0.475625129,0.773475628,-5.931272456
Calr3,0.156122694,3.716842707,0.741664155,0.475662525,0.773475628,-5.877839379
Acad10,0.250632463,3.168546533,0.741489679,0.47576359,0.773475628,-5.794462528
Arfip2,0.235108367,2.931713618,0.741332388,0.475854713,0.773475628,-5.753802173
Grhl2,0.271577108,1.938080955,0.741299656,0.475873677,0.773475628,-5.553347443
Gm16042,0.594738682,-0.754767917,0.741251309,0.475901689,0.773475628,-4.993718326
Dpp7,0.179959086,2.466919235,0.741150633,0.475960023,0.773482421,-5.665033501
Hist1h1c,0.129087999,6.623198814,0.740924676,0.476090963,0.773498402,-6.078223985
Ncor1,0.138486337,5.852287082,0.740320174,0.476441381,0.773792159,-6.056353918
Odf2l,0.242681411,2.736652708,0.740147341,0.476541599,0.773792159,-5.71883718
Ranbp2,0.130353337,6.151066168,0.739814428,0.476734677,0.773792159,-6.066912326
Matk,0.425482006,-0.086492782,0.739793957,0.476746552,0.773792159,-5.110680572
Vmn1r188,0.465932716,0.750719707,0.739450461,0.476945823,0.774007392,-5.289071202
Ftl1-ps1,0.236754986,1.522185725,0.739191886,0.477095864,0.774007392,-5.463283288
Fzd3,0.265404537,1.378512289,0.739127045,0.477133494,0.774007392,-5.430808918
Frmpd3,0.226441464,1.912443309,0.739091276,0.477154253,0.774007392,-5.549407801
Zfp780b,0.154686768,3.943402121,0.738924086,0.47725129,0.774007392,-5.909153132
Slc25a12,0.11925671,5.1894979,0.738905258,0.477262219,0.774007392,-6.023835509
Zc3h14,0.134820666,5.395931121,0.738880879,0.47727637,0.774007392,-6.0360505
Gabarapl1,0.127722329,4.579392281,0.738674963,0.477395905,0.774007392,-5.976907077
Crp,0.380647002,0.574742932,0.738538283,0.47747526,0.774007392,-5.250239901
Khdrbs2,0.449606118,0.193402685,0.73821519,0.477662875,0.774223654,-5.167889162
Kif2a,0.153987629,4.511954039,0.737304296,0.478192069,0.774614978,-5.971706797
Setd4,0.417584474,0.051833616,0.737299633,0.478194779,0.774614978,-5.139427028
Tgfbrap1,0.167813046,3.975302735,0.737165707,0.478272617,0.774614978,-5.914361766
Lysmd3,0.275826486,4.152367716,0.737052925,0.478338172,0.774614978,-5.935031899
Mrpl40,0.141436464,4.034437764,0.73646776,0.478678391,0.774759264,-5.921839845
Naa35,0.137846199,4.308875745,0.736433203,0.478698488,0.774759264,-5.952250365
Tfrc,0.190312543,3.462676995,0.736322153,0.478763073,0.774775999,-5.845160779
Deptor,0.157097199,3.398969958,0.735814352,0.47905847,0.775166209,-5.835900842
Impact,0.188155159,3.171210669,0.735349767,0.479328828,0.775209802,-5.799381947
Spata1,0.273708417,0.63101459,0.73517154,0.479432571,0.775209802,-5.264893116
Ikbkg,0.117534281,5.547595038,0.735125358,0.479459455,0.775209802,-6.04675135
Gas2,0.22123761,2.197548249,0.734940794,0.479566904,0.775209802,-5.613392349
Rpap3,0.190731584,2.545012454,0.734772136,0.479665107,0.775209802,-5.685313117
Col11a2,0.418970447,2.033047782,0.734118931,0.480045562,0.7755615,-5.578873904
Fubp1,0.144907865,6.764598801,0.733836191,0.480210301,0.7755615,-6.086376101
Vmn1r75,0.562486203,-0.21910407,0.733319073,0.480511694,0.775759977,-5.089299084
Ptbp1,0.198300457,4.166065971,0.73282499,0.480799772,0.775961938,-5.939672049
Vmn2r63,0.356168648,2.127516979,0.732519331,0.480978044,0.775971756,-5.600152582
Mcm7,0.219254215,2.263868937,0.732442373,0.481022935,0.775971756,-5.62918291
Gm20503,0.237870476,2.205384327,0.732274238,0.48112102,0.775971756,-5.616931902
Katnbl1,0.206027544,1.983144081,0.732209001,0.481159082,0.775971756,-5.56943646
Ppp2r3a,0.110579917,8.017719607,0.732193293,0.481168247,0.775971756,-6.101536474
Pdgfd,0.141994233,4.870966896,0.731976386,0.481294811,0.775971756,-6.00654422
Dok5,0.513312425,-0.648406337,0.731713481,0.481448244,0.776087602,-5.015642749
D130040H23Rik,0.286100129,2.484599582,0.731532926,0.481553634,0.77612622,-5.675459466
Brdt,0.589352152,-1.088590836,0.731337204,0.481667895,0.776183154,-4.949834465
Brd7,0.15676634,4.383029314,0.731193173,0.481751989,0.776183154,-5.96365577
Vamp4,0.136030468,3.708292754,0.731013915,0.481856664,0.776193195,-5.884468247
2010300C02Rik,0.384234911,-0.141480961,0.730996372,0.481866909,0.776193195,-5.105250664
Nup37,0.282763161,1.13867347,0.730545783,0.482130091,0.776529554,-5.38238101
Amph,0.399774425,1.105614276,0.730122517,0.482377396,0.776752689,-5.375192484
Tbc1d23,0.204736544,2.298966396,0.729933744,0.482487718,0.776842755,-5.638251771
Aldh1a1,0.230571081,3.825129657,0.728707533,0.483204721,0.777757626,-5.901678021
Top3b,0.171485334,3.495141914,0.728682623,0.483219294,0.777757626,-5.855600339
Gm29666,0.359091035,1.984861465,0.728513756,0.483318089,0.777828988,-5.57238021
Mbtd1,0.132772425,3.590200105,0.727987653,0.483625969,0.778149117,-5.870151599
Ctnnbl1,0.280985723,1.072139658,0.727729458,0.483777112,0.778169868,-5.36917452
Esf1,0.236877655,2.169512493,0.727191238,0.484092272,0.778225714,-5.612834942
Cnot9,0.21810659,1.927436214,0.727168899,0.484105355,0.778225714,-5.560918947
Msl3l2,0.492502907,-0.385560548,0.727162362,0.484109184,0.778225714,-5.062576626
Tmem56,0.426788907,-0.231278309,0.727132524,0.48412666,0.778225714,-5.090570059
Fig4,0.112181905,6.000458976,0.726932736,0.484243686,0.778225714,-6.071643796
Txndc17,0.162384861,3.502887232,0.72635664,0.484581233,0.778380517,-5.858450346
Sqstm1,0.11244493,8.721427897,0.726347245,0.484586739,0.778380517,-6.106032337
Pgm5,0.12546877,5.273851491,0.726253404,0.484641737,0.778380517,-6.038466804
Ddo,0.144231546,4.87121124,0.725811817,0.484900594,0.778596947,-6.011091481
Pcdhb12,0.384900472,-0.271004411,0.725661391,0.484988792,0.778596947,-5.084063612
Carf,0.164163097,3.269967401,0.725347245,0.485173017,0.778596947,-5.822816584
Mrpl35,0.17216867,4.289813563,0.725000983,0.485376126,0.778596947,-5.958647291
Snx5,0.174758955,3.235117123,0.724129088,0.485887796,0.77924269,-5.818054551
Rpp40,0.249931563,2.318375548,0.723036577,0.486529412,0.77992139,-5.647118305
Rassf9,0.173310844,4.304685175,0.722413937,0.486895316,0.780157707,-5.96207659
Ptn,0.430539389,0.977802112,0.722291759,0.486967136,0.780185262,-5.351344274
Timm50,0.158202563,2.79405253,0.721883856,0.487206962,0.780325306,-5.742776484
Csf2rb2,0.394137132,1.374339536,0.72082275,0.487831185,0.780868857,-5.442190211
Tgds,0.168852015,3.044994795,0.720621436,0.487949669,0.780910164,-5.788617711
Bod1l,0.127267506,6.786573119,0.720341823,0.488114267,0.781059386,-6.096743693
Pgpep1,0.17390705,2.483802286,0.720149569,0.48822746,0.78114654,-5.683327364
Rab27b,0.30148026,1.555697581,0.720036507,0.488294034,0.78114654,-5.483783219
Incenp,0.254622116,0.90041255,0.71978494,0.488442186,0.78114654,-5.335498525
Grm1,0.145366949,4.883521735,0.719315319,0.488718829,0.781421328,-6.016787756
Acvrl1,0.144152493,4.967575259,0.719009808,0.48889885,0.781421328,-6.023298682
Ddx10,0.120591149,4.523739968,0.718838424,0.488999856,0.781421328,-5.986343477
Rfesd,0.185689847,3.418701788,0.718825668,0.489007374,0.781421328,-5.851194153
Epha7,0.219687107,2.329626589,0.718754181,0.48904951,0.781421328,-5.652446146
Smc6,0.166691061,2.787668003,0.718736843,0.48905973,0.781421328,-5.743803172
Nphp3,0.303124612,2.418892334,0.718714168,0.489073095,0.781421328,-5.671072999
Myoz2,0.170674854,8.88135373,0.718680005,0.489093232,0.781421328,-6.1109544
Klhdc1,0.160243123,3.42338007,0.718587399,0.489147822,0.781421328,-5.852076056
Prepl,0.1179477,7.048758228,0.718564863,0.489161107,0.781421328,-6.102408082
Actr6,0.273666024,1.384232154,0.717574806,0.489744976,0.782218767,-5.446593215
Angpt2,0.374311002,1.293793216,0.71735329,0.48987567,0.782218767,-5.42626381
Zfp622,0.138722379,5.206909374,0.716890749,0.49014864,0.782473793,-6.041126641
Trit1,0.192908626,2.652455831,0.716552404,0.490348375,0.782668234,-5.719573884
Gm3200,0.411205207,0.287629598,0.716498782,0.490380034,0.782668234,-5.200963719
Ankrd33b,0.166549806,4.36881647,0.715885651,0.490742128,0.782808779,-5.973379391
Mmadhc,0.13069645,6.064661104,0.714530654,0.491542931,0.783531485,-6.082858807
E2f1,0.447650364,-0.06029894,0.714442151,0.491595264,0.783531485,-5.130527345
Tmem69,0.162150465,3.07249968,0.714041121,0.491832444,0.783695718,-5.797933502
Hsd17b4,0.132851593,4.294740193,0.714016784,0.49184684,0.783695718,-5.967103508
Gm5590,0.424563017,0.175360542,0.713519483,0.492141062,0.783918553,-5.178954742
Tcte2,0.385268854,1.473430365,0.713443876,0.492185803,0.783918553,-5.46966749
Lynx1,0.133558071,5.157688901,0.713062493,0.492411531,0.783918553,-6.040749281
Gm11518,0.309222395,4.137291365,0.71294949,0.492478426,0.783918553,-5.950856745
Rpl27-ps3,0.309222395,4.137291365,0.71294949,0.492478426,0.783918553,-5.950856745
Tcaim,0.134088859,5.299056999,0.712546177,0.492717223,0.784120344,-6.049949716
Txndc15,0.103225544,6.052480676,0.711994841,0.493043779,0.784377845,-6.084295704
Tgfb3,0.161755387,3.825881527,0.711619621,0.493266098,0.784419584,-5.914077919
Gm45739,0.417086089,-0.557889262,0.710713132,0.493803453,0.784920346,-5.041777117
Birc5,0.317216332,0.570894059,0.710687634,0.493818573,0.784920346,-5.266829634
1500011B03Rik,0.399135991,-0.083890685,0.71067777,0.493824423,0.784920346,-5.128050057
Flt3,0.371860617,-0.568826582,0.710364793,0.49401004,0.785128008,-5.040125365
Castor2,0.22015707,1.845214153,0.709903198,0.494283878,0.78513643,-5.554874408
Trip12,0.11802923,8.00532056,0.709843306,0.494319416,0.78513643,-6.117854954
Spg20,0.143839591,5.468855642,0.709799922,0.494345159,0.78513643,-6.061293945
Gm7232,0.495638444,-0.534442231,0.709463906,0.494544573,0.785278503,-5.046401173
Asb10,0.121149874,5.499474627,0.708939728,0.494855754,0.785476733,-6.063500599
Bsdc1,0.146770793,3.004931018,0.708838421,0.49491591,0.785476733,-5.790001623
Zfp977,0.467951972,-0.894588048,0.708258798,0.495260172,0.785715988,-4.989414614
Mapkap1,0.124669929,4.198494311,0.707747119,0.495564203,0.785983578,-5.96130874
Braf,0.148469002,3.942650551,0.7076971,0.49559393,0.785983578,-5.931663888
Phf10,0.171330539,2.524617637,0.707012573,0.496000861,0.786259591,-5.700677394
Fbxo8,0.121582713,5.419858659,0.706461346,0.496328698,0.786300643,-6.061067874
Mtf1,0.196985357,2.421573014,0.706434477,0.496344682,0.786300643,-5.680129314
Rhou,0.254953462,1.100956456,0.705752637,0.496750394,0.786573519,-5.390002477
Copz2,0.152393925,3.444660957,0.705430579,0.496942098,0.786573519,-5.864601459
Ccdc78,0.504265613,-0.77446192,0.705346078,0.496992404,0.786573519,-5.009358567
Lsm10,0.212002998,1.752534895,0.705291689,0.497024786,0.786573519,-5.537568262
Gm11410,0.359283087,-0.060664752,0.705127755,0.497122394,0.786573519,-5.135766871
Eif3b,0.131733811,4.321083067,0.704870427,0.497275635,0.786684547,-5.976378746
Washc3,0.195226097,3.105373031,0.7046031,0.497434861,0.786684547,-5.810137084
Gm13910,0.428459538,0.524642306,0.704562399,0.497459106,0.786684547,-5.260228128
Milr1,0.475615895,-1.044542422,0.703809376,0.497907806,0.786959179,-4.969572831
Zfp423,0.393620574,-0.246344973,0.703649897,0.498002867,0.786959179,-5.100913441
Olfr1393,0.535723848,0.02310181,0.703635714,0.498011321,0.786959179,-5.153342802
Setmar,0.321975239,0.712517658,0.703521781,0.49807924,0.786959179,-5.303215466
Prmt9,0.134332033,4.092589203,0.702825641,0.498494356,0.787260492,-5.952944106
Lhfpl4,0.28895454,1.944338262,0.702669779,0.498587327,0.787260492,-5.581249569
Satb2,0.360538957,-0.42311553,0.702642126,0.498603823,0.787260492,-5.069333568
Fkbp2,0.179910466,3.230336469,0.702515245,0.498679517,0.787292975,-5.832563309
Prorsd1,0.205163583,3.316285362,0.701654732,0.499193062,0.787748541,-5.847126086
Tpm3,0.120491824,5.709687582,0.70156606,0.499245999,0.787748541,-6.078773449
Notch4,0.209680904,2.023970459,0.701004583,0.49958128,0.787748541,-5.599642662
Fam169b,0.607398095,-1.026889708,0.70083752,0.499681067,0.787748541,-4.973558404
Snap47,0.164479203,4.24579534,0.700363701,0.499964146,0.788018906,-5.971599032
N4bp2,0.131381153,3.913819416,0.699525955,0.500464892,0.788521069,-5.933846204
Gm4787,0.473399464,-0.348625473,0.699234769,0.500639015,0.788521069,-5.08449305
Atg4b,0.194313771,2.367213245,0.699123305,0.500705677,0.788521069,-5.67380882
Gars,0.130470034,4.217578002,0.699095302,0.500722426,0.788521069,-5.969472535
Gm10259,1.583449322,-0.479312099,0.699054854,0.500746618,0.788521069,-5.061395996
Traf3ip1,0.156624695,3.269669701,0.698902785,0.500837579,0.788521069,-5.841459212
Ifi35,0.150579706,3.458099023,0.697173077,0.501872924,0.789687556,-5.872396179
Gm43841,0.275988928,0.459213444,0.696839095,0.502072986,0.789799134,-5.250246406
Nabp2,0.156388936,4.78142534,0.696629507,0.502198558,0.789799134,-6.0248212
Gprin3,0.650606726,-1.209555854,0.696396281,0.502338315,0.789839074,-4.950019739
Hccs,0.116991437,5.681741619,0.695651699,0.502784654,0.78999127,-6.081762337
Eif3l,0.118134305,5.68091008,0.695412366,0.502928174,0.78999127,-6.081894545
Gm21188,0.346406888,1.218254003,0.695379022,0.502948171,0.78999127,-5.423263476
Ap5m1,0.155393615,3.424434286,0.695106876,0.503111402,0.78999127,-5.868767224
Dpp8,0.106589858,6.721015124,0.695025417,0.503160266,0.78999127,-6.113668871
S100a11,0.138730603,3.357958714,0.69494199,0.503210315,0.78999127,-5.858493992
Lipa,0.120269109,4.122863026,0.694808648,0.503290314,0.78999127,-5.962049782
Me3,0.105389211,7.151547135,0.694456598,0.503501564,0.790102488,-6.121212351
Tcf20,0.156019864,3.565016751,0.69432336,0.503581529,0.790134533,-5.890371272
Mical2,0.113640693,6.105896188,0.694150769,0.503685124,0.790134533,-6.098725483
Mrpl10,0.128090647,4.627353285,0.693962435,0.503798183,0.790134533,-6.013474996
Mrpl22,0.157902209,4.172699306,0.693869622,0.503853905,0.790134533,-5.96831529
Rai14,0.242727964,2.705209661,0.69349716,0.504077559,0.790275864,-5.745586194
Twistnb,0.31446495,1.432459118,0.693145652,0.504288686,0.790275864,-5.473621785
Golgb1,0.168137407,2.845928946,0.69305031,0.504345961,0.790275864,-5.772462273
Atp6v1g2,0.477988959,0.605345486,0.692815511,0.504487029,0.790275864,-5.285435184
Cfap126,0.386821842,0.167041687,0.692336523,0.50477488,0.790288469,-5.189550697
Hmmr,0.340876652,0.04363393,0.692231267,0.504838148,0.790288469,-5.163997432
Cep89,0.158227178,3.1446734,0.692183476,0.504866877,0.790288469,-5.825437559
2310011J03Rik,0.149090675,3.213078041,0.692003299,0.504975194,0.790330998,-5.837018974
Tmx4,0.115300299,5.889898436,0.691409714,0.505332139,0.790554671,-6.093270459
Birc2,0.137678389,3.740363792,0.691305447,0.505394854,0.790554671,-5.917084636
Adsl,0.124902008,5.013620267,0.691083733,0.505528229,0.790590134,-6.04654022
Chfr,0.145079441,4.424931774,0.690839958,0.5056749,0.790657754,-5.996663369
Mrpl52,0.155933336,3.929149001,0.690654324,0.505786606,0.790657754,-5.941948334
Abtb1,0.159686734,3.191949334,0.690643877,0.505792894,0.790657754,-5.834435946
Nim1k,0.225923305,2.89614348,0.690051944,0.506149197,0.790946511,-5.783540701
Igip,0.128285702,3.954132899,0.689184556,0.506671582,0.790946511,-5.946074778
Setd7,0.169432838,5.477229562,0.688917106,0.50683272,0.790946511,-6.076554173
Tada1,0.168576417,2.402964558,0.688758513,0.506928287,0.790946511,-5.688272172
Trim46,0.492436134,-1.002968931,0.688709978,0.506957536,0.790946511,-4.982887457
Sptssa,0.183982433,2.908357203,0.688518303,0.507073056,0.790946511,-5.786784069
Pak1ip1,0.124491412,4.854347177,0.688509167,0.507078563,0.790946511,-6.036431971
Bcl2l12,0.2186958,1.76877456,0.688498238,0.50708515,0.790946511,-5.552231183
Txlng,0.13739228,4.03558148,0.687620667,0.507614264,0.791512504,-5.956872933
H2afz,0.138726388,6.109314881,0.687021561,0.507975677,0.791816719,-6.10384232
Cib2,0.454585291,-0.537499876,0.686915311,0.508039789,0.791830238,-5.057702425
Ipo13,0.193804475,4.120680835,0.686652389,0.508198459,0.791904712,-5.967475946
Prox2,0.267688959,1.230296892,0.686251321,0.508440556,0.792043054,-5.431820452
Tmc7,0.172872113,2.744121277,0.68604638,0.508564292,0.792129093,-5.758104877
Slc15a3,0.472580241,-0.222684961,0.685444988,0.508927496,0.792521961,-5.115309742
Bcar3,0.294691519,1.374640293,0.68522434,0.509060793,0.792643117,-5.465437274
Dlg2,0.347686228,1.620371036,0.684812372,0.509309727,0.792857857,-5.521624014
Dnajc3,0.111305212,5.746531964,0.684521276,0.509485669,0.793045314,-6.092330321
Rfc3,0.283234173,0.371302563,0.684206096,0.509676207,0.793141195,-5.23827136
Lamtor4,0.147094491,4.492192177,0.684130533,0.509721895,0.793141195,-6.007907167
Bckdha,0.106830235,7.017175333,0.68409916,0.509740864,0.793141195,-6.126543792
Rps25,0.157757763,5.207523307,0.683831125,0.509902949,0.793262588,-6.06463512
2200002D01Rik,0.420021168,1.359969984,0.683315707,0.510214717,0.793362421,-5.463309562
Hipk3,0.12164193,8.57643585,0.683291057,0.51022963,0.793362421,-6.137298325
Stau2,0.127385064,7.713717814,0.683258752,0.510249176,0.793362421,-6.135095405
Gm10052,1.43695604,-2.037029534,0.683174095,0.510300396,0.793362421,-4.857056809
Car14,0.128008277,6.144951214,0.683030322,0.510387392,0.793411311,-6.107725763
Gm15737,0.220686243,1.536150803,0.682650655,0.510617167,0.793635626,-5.503946219
Klre1,0.249793802,0.885429961,0.682608274,0.51064282,0.793635626,-5.355390347
